Gene,logFC,pval,-log10p
ILMN_1683194,-1.048523178617647,0.0007569159056197599,3.1209523685237435
ILMN_1743797,-1.203911087,0.0017453194875237902,2.758125062132694
ILMN_1754195,-1.2813032055882352,3.6171554851739535e-05,4.441632822479265
ILMN_2207539,-1.6983449838235303,0.00019855394529005394,3.7021214790323476
ILMN_1779857,1.0385521730294118,0.0010442576563188422,2.9811923318781774
ILMN_1651958,-1.2256397496176472,0.002338633992139485,2.6310377421207938
ILMN_2260991,-1.0050203670588238,4.7617989180217946e-06,5.322228947998209
ILMN_1731546,-2.116356054235294,9.892815395501622e-06,5.00468009498233
ILMN_1755808,-1.5070548165882356,0.00024022500846982992,3.6193817826321655
ILMN_1653579,-1.1049710447352943,0.00043104312122546113,3.36547928117684
ILMN_1682774,-1.1400541039705883,9.591166523988211e-06,5.018128568624815
ILMN_1737015,-1.2862722283235293,0.00019889725013851582,3.7013712211889085
ILMN_1799289,-1.0423900391764707,2.8050719736895093e-06,5.552055990958558
ILMN_2160388,-1.525874600588235,4.6266027043614744e-05,4.334737792635742
ILMN_2415722,-1.1799325058823529,0.0004551774219163158,3.3418192883096967
ILMN_1753468,1.1089520890294118,2.589448954170591e-06,5.586792645812546
ILMN_2232936,-1.3681120350882352,0.00010374674215552653,3.98402553207218
ILMN_2189936,-1.0872520215588235,0.000306602664477801,3.513424075303633
ILMN_1787949,-1.0456295217647058,0.00033661342349311263,3.472868569189828
ILMN_1700316,-1.0307602835294118,0.0010266912955767611,2.988560119967801
ILMN_1780711,1.0450609817941177,1.3147152030285682e-06,5.88116831496795
ILMN_1709880,-1.2637515234117647,0.041133761245884,1.385801577054218
ILMN_1688780,-2.021602050411764,0.0001633590415121662,3.786856823415823
ILMN_1661646,-1.2298655965000003,1.0961549800141523e-07,6.960128038728817
ILMN_1808041,-1.3680939980588231,0.0018822668617029417,2.725318803677672
ILMN_2154671,-1.5377227627647054,5.058055887656059e-05,4.296016376342634
ILMN_1761314,-1.1362408862647058,1.0713402976163467e-06,5.970072559137527
ILMN_1813753,-1.0826555063529413,2.720620452897708e-07,6.5653320413549325
ILMN_1788180,1.0239885666764708,3.838595600671318e-07,6.415827638767698
ILMN_1784286,-1.001909390470588,0.00010676955580445199,3.9715525640768727
ILMN_1707727,1.0382151186470587,0.00617568706607696,2.2093147186501723
ILMN_1792528,-1.0365255698529412,4.3885534159707525e-05,4.357678611191369
ILMN_2290808,-1.7358720414705882,6.444437889848317e-05,4.190814957594274
ILMN_1718977,1.1634848964411764,3.340495108981492e-05,4.476189159786318
ILMN_1717990,1.4823515715294118,8.731012486848235e-05,4.058935390663914
ILMN_1711729,-1.947117169852941,4.7731100907731233e-08,7.32119854860801
ILMN_1725276,-1.089154389764706,0.0005625223216171077,3.2498602395049625
ILMN_1740749,1.2798815566470587,1.0512357723199651e-05,4.97829986900116
ILMN_1733559,-1.2179024561764704,0.024939435999218194,1.603113372236665
ILMN_1697499,-1.407403265264706,0.027706408019223392,1.5574197744179554
ILMN_1756360,-1.5777457337647054,8.742446008043036e-05,4.058367041144126
ILMN_1775170,-1.0384856582352942,0.007341373494276439,2.1342226805223286
