Gene,logFC,pval,-log10p
ILMN_1802380,-0.24122766879411764,0.08367863260945935,1.077385425214593
ILMN_1893287,0.3793527078529412,0.003040585393765171,2.5170427950731407
ILMN_1736104,0.3682937173529412,0.004604966147533942,2.336773558082387
ILMN_1792389,0.0485531724117647,0.560035352417047,0.25178455714550974
ILMN_1854015,0.22790238429411763,0.004140586760351817,2.3829381108775416
ILMN_1740305,0.2233911704117647,0.03420089682945506,1.4659625055527292
ILMN_1665168,0.41955169970588235,0.002071296360984268,2.6837577578270126
ILMN_2375156,0.28620214929411764,0.002728419818658806,2.5640888045070755
ILMN_1705423,0.2629612453529412,0.009939114344425784,2.0026523130338036
ILMN_1716072,0.35603409288235294,0.003969721141112054,2.4012399998187064
ILMN_1697642,-0.13905528097058822,0.20335293793919304,0.691749548749619
ILMN_1788184,-0.3453770922352941,0.1847466516021684,0.7334234241314017
ILMN_1681845,-0.40448526847058824,0.0017703679678077236,2.7519364569265967
ILMN_1746923,0.3624628999705882,0.005532884018456427,2.2570484334678116
ILMN_1690979,0.2636274616764706,0.007743876779058924,2.111041566159441
ILMN_1811114,0.32271071517647065,0.2546648064014334,0.5940310685492465
ILMN_1660729,0.22910849894117646,0.03538699661678218,1.4511562954610673
ILMN_1772314,0.3244811249411765,0.013263644798160367,1.8773371170911837
ILMN_1791820,0.40064385488235293,0.00016539892993992856,3.78146730447324
ILMN_2129572,-0.008624595970588247,0.9607088602321427,0.01740820395620793
ILMN_1858692,0.31531858502941174,0.016171246588609935,1.7912565004592698
ILMN_1705659,0.3843157485882353,0.0051003156719987884,2.2924029434384354
ILMN_1811945,0.3535916937058824,0.002424406697122045,2.615394524975865
ILMN_1694630,0.3081394314117647,0.008832216850965356,2.0539302765689627
ILMN_1701042,0.35565337055882357,0.00765735222749615,2.115921375507644
ILMN_1778562,0.30909546879411764,0.018039061020216553,1.7437860723568124
ILMN_1797055,0.5058769323529412,9.257889991745614e-05,4.0334879840913045
ILMN_1674316,0.39065595644117646,0.0025781271117875887,2.5886956740318685
ILMN_1718358,0.3643959702647059,0.007051709424340521,2.15170559172233
ILMN_1662772,0.3970433370294117,0.0018032747060079445,2.743938108987103
ILMN_1713038,0.35586030179411765,0.006138497654542237,2.2119379057607516
ILMN_1670547,0.28632162573529407,0.009267676348713763,2.0330291413065336
ILMN_2342515,-0.09699342052941176,0.1489133449729577,0.8270663809018306
ILMN_1800425,-0.06381099402941177,0.46574523543709223,0.3318515792314268
ILMN_1728019,-0.05822449694117647,0.3466811439925487,0.4600697790032068
ILMN_1856669,0.3782742187941176,0.002319419339806769,2.634620725919927
ILMN_1783852,0.04042102061764707,0.7431808082273046,0.12890551401521913
ILMN_1787840,0.3622371382058824,0.005783154246684418,2.2378352241600856
ILMN_1721344,0.12354289773529417,0.21033935554347255,0.6770794610451424
ILMN_1892501,0.3522045762352941,0.002277726931437041,2.6424983431535765
ILMN_1691223,0.2936701468235294,0.004161819718259403,2.380716736488857
ILMN_1766219,0.4155685737058824,0.0008561978638936189,3.067425860010669
ILMN_1679973,0.3248352395882353,0.008238111935918122,2.0841723113330732
ILMN_1701854,0.2545414239705882,0.03565170880738964,1.447919649323072
ILMN_1678707,-0.4894217462352942,0.01762061051443103,1.7539790483385473
ILMN_2276504,0.23792780379411765,0.009942272625406699,2.0025143323168715
ILMN_1778226,0.11681565111764705,0.13804464671855823,0.8599804303551687
ILMN_1669674,-0.05107075920588235,0.6417336165704521,0.19264521003302437
ILMN_1678052,0.21230819626470587,0.04051441176348945,1.3923904623159242
ILMN_1762305,0.31301990979411765,0.012039561855499039,1.919389317663029
ILMN_2045576,0.23237658767647057,0.007749416697208642,2.1107309858443077
ILMN_1682812,-0.08295764411764707,0.23436106409432972,0.630114538786869
ILMN_1777811,0.09789609976470587,0.21062532552032642,0.6764894105842431
ILMN_1667052,0.36660631467647053,0.005263355316433028,2.27873731081923
ILMN_1663447,0.08335381211764704,0.33357887798049135,0.4768014564363769
ILMN_2187002,0.30216820220588236,0.011381645700759602,1.9437949376698775
ILMN_2343563,-0.2094562350294118,0.056554190492751226,1.2475352096518444
ILMN_1790014,0.03816240432352941,0.7516375455792557,0.12399153427849498
ILMN_1775441,0.014392418264705872,0.7685948076287008,0.11430255381106674
ILMN_1758529,-0.04016915720588235,0.7247969311427698,0.1397836541703471
ILMN_1715616,-0.2803646515294117,0.006975140102760377,2.156447064721798
ILMN_1759175,0.24879887844117649,0.033187443437078384,1.479026201762348
ILMN_2202481,-0.4043503798235294,0.019346798792787983,1.7133908849934474
ILMN_1797056,0.24630912414705886,0.008657082368744629,2.0626284503213275
ILMN_1687035,0.2624763606764706,0.0012636480628931929,2.8983738640486774
ILMN_2383638,0.26383238511764706,0.020294905511435833,1.69261296632046
ILMN_1801184,0.324356878117647,0.004315408444065408,2.3649780929710302
ILMN_1698995,0.29830701264705883,0.41029652200734457,0.3869021644355254
ILMN_1695858,0.3163171929117647,0.004578815908692966,2.3392468169322242
ILMN_1680614,0.22574578820588234,0.054841977156099245,1.260886896469956
ILMN_1658108,0.34869816658823527,0.0048852882459765636,2.3111098065728677
ILMN_1709153,0.04357635264705881,0.5733997179405592,0.24154252502205753
ILMN_1687440,0.4164218732352941,0.01089045064206748,1.9629541489573619
ILMN_1791534,-0.3252192057352941,0.2853032773701918,0.5446932394343564
ILMN_1802450,0.3481537467352941,0.0098521887996062,2.0064672742749243
ILMN_1661264,-0.14542732061764702,0.3421853796046447,0.46573855029658834
ILMN_1760441,-0.028467864647058833,0.7555783078903471,0.12172051885337168
ILMN_1691173,0.4389722102941176,0.0011071092620181515,2.955809515932529
ILMN_2160160,0.18280162370588238,0.03154274683173529,1.5011004897667286
ILMN_1801040,-0.09754765905882352,0.4370276436095122,0.3594910914337704
ILMN_2184262,0.21349167582352943,0.03689343840074492,1.433050867438349
ILMN_1756578,0.08311754320588234,0.33577532628834494,0.4739512202007052
ILMN_1782295,0.3246464472352941,0.001993167111914449,2.7004562874812703
ILMN_2096743,0.18773174438235293,0.03420031597911566,1.465969881448181
ILMN_1683447,-0.3101827738823529,0.19404625177231247,0.7120947417429473
ILMN_1864370,0.3102039991470588,0.002741235928069551,2.562053584727072
ILMN_1684200,0.2895730616470588,0.01911028502184933,1.7187328355774678
ILMN_1687857,0.03952778144117648,0.6749306335771451,0.1707408597655729
ILMN_2143148,-0.2042251047352941,0.2816931235242849,0.5502237545474491
ILMN_1753404,0.2006033872352941,0.014583818631944865,1.8361287453154582
ILMN_2170209,0.3623303098529412,0.0014488686505297879,2.8389709843947735
